"Site.Name","Date","PM2.5","Ozone"
"Durham Armory",2019-02-25,22,42
"Frying Pan Mountain",2019-02-25,NA,44
"Garinger High School",2019-02-25,10,41
"Hattie Avenue",2019-02-25,12,NA
"Leggett",2019-02-25,0,43
"Linville Falls",2019-02-25,NA,42
"Mendenhall School",2019-02-25,4,43
"Millbrook School",2019-02-25,18.5,44
"Pitt Agri. Center",2019-02-25,7,NA
"West Johnston Co.",2019-02-25,10,44
"Bryson City",2019-02-26,35,NA
"Castle Hayne",2019-02-26,13,44
"Clemmons Middle",2019-02-26,27,NA
"Durham Armory",2019-02-26,38.5,39
"Frying Pan Mountain",2019-02-26,11,45
"Garinger High School",2019-02-26,31,43
"Hattie Avenue",2019-02-26,28.5,NA
"Leggett",2019-02-26,9,45
"Linville Falls",2019-02-26,11,44
"Mendenhall School",2019-02-26,19,44
"Millbrook School",2019-02-26,37,41
"Pitt Agri. Center",2019-02-26,26,NA
"West Johnston Co.",2019-02-26,22,NA
"Bryson City",2019-02-27,43,42
"Castle Hayne",2019-02-27,5,41
"Clemmons Middle",2019-02-27,59,NA
"Durham Armory",2019-02-27,56,26
"Frying Pan Mountain",2019-02-27,NA,44
"Garinger High School",2019-02-27,55,20
"Hattie Avenue",2019-02-27,44,NA
"Leggett",2019-02-27,27,22
"Linville Falls",2019-02-27,NA,41
"Mendenhall School",2019-02-27,33,28
"Millbrook School",2019-02-27,57,21
"Pitt Agri. Center",2019-02-27,37,29
"West Johnston Co.",2019-02-27,35,NA
"Bryson City",2019-02-28,55,21
"Castle Hayne",2019-02-28,33,39
"Clemmons Middle",2019-02-28,59,41
"Durham Armory",2019-02-28,58,36
"Frying Pan Mountain",2019-02-28,NA,44
"Garinger High School",2019-02-28,52,28
"Hattie Avenue",2019-02-28,45,NA
"Leggett",2019-02-28,45,37
"Linville Falls",2019-02-28,NA,43
"Mendenhall School",2019-02-28,44,44
"Millbrook School",2019-02-28,59.5,34
"Pitt Agri. Center",2019-02-28,37,38
"West Johnston Co.",2019-02-28,49,NA
"Bryson City",2019-03-01,54,19
"Castle Hayne",2019-03-01,23,36
"Clemmons Middle",2019-03-01,33,22
"Durham Armory",2019-03-01,36,25
"Frying Pan Mountain",2019-03-01,NA,39
"Garinger High School",2019-03-01,26.6666666666667,19
"Hattie Avenue",2019-03-01,19,25
"Leggett",2019-03-01,22,26
"Linville Falls",2019-03-01,NA,25
"Mendenhall School",2019-03-01,15,26
"Millbrook School",2019-03-01,40.6666666666667,25
"Pitt Agri. Center",2019-03-01,27,28
"West Johnston Co.",2019-03-01,33,25
"Bryson City",2019-03-02,21,31
"Castle Hayne",2019-03-02,13,26
"Clemmons Middle",2019-03-02,33,29
"Durham Armory",2019-03-02,27,33
"Frying Pan Mountain",2019-03-02,NA,41
"Garinger High School",2019-03-02,22,25
"Hattie Avenue",2019-03-02,21,30
"Leggett",2019-03-02,6,28
"Linville Falls",2019-03-02,NA,34
"Mendenhall School",2019-03-02,13,37
"Millbrook School",2019-03-02,23,33
"Pitt Agri. Center",2019-03-02,6,29
"West Johnston Co.",2019-03-02,10,33
"Bryson City",2019-03-03,33,21
"Castle Hayne",2019-03-03,16,35
"Clemmons Middle",2019-03-03,45,22
"Durham Armory",2019-03-03,42,28
"Frying Pan Mountain",2019-03-03,NA,34
"Garinger High School",2019-03-03,27,14
"Hattie Avenue",2019-03-03,30,21
"Leggett",2019-03-03,24,29
"Linville Falls",2019-03-03,NA,25
"Mendenhall School",2019-03-03,23,25
"Millbrook School",2019-03-03,44,29
"Pitt Agri. Center",2019-03-03,30,30
"West Johnston Co.",2019-03-03,27,28
"Bryson City",2019-03-04,24,37
"Castle Hayne",2019-03-04,18,28
"Clemmons Middle",2019-03-04,22,39
"Durham Armory",2019-03-04,35.5,41
"Frying Pan Mountain",2019-03-04,NA,38
"Garinger High School",2019-03-04,22,36
"Hattie Avenue",2019-03-04,19.5,39
"Leggett",2019-03-04,26,34
"Linville Falls",2019-03-04,NA,38
"Mendenhall School",2019-03-04,21,40
"Millbrook School",2019-03-04,25.5,40
"Pitt Agri. Center",2019-03-04,32,34
"West Johnston Co.",2019-03-04,25,33
"Bryson City",2019-03-05,25,42
"Castle Hayne",2019-03-05,22,31
"Clemmons Middle",2019-03-05,26,40
"Durham Armory",2019-03-05,36,37
"Frying Pan Mountain",2019-03-05,NA,42
"Garinger High School",2019-03-05,21,38
"Hattie Avenue",2019-03-05,19,40
"Leggett",2019-03-05,15,34
"Linville Falls",2019-03-05,NA,41
"Mendenhall School",2019-03-05,8,41
"Millbrook School",2019-03-05,34.5,36
"Pitt Agri. Center",2019-03-05,24,33
"West Johnston Co.",2019-03-05,20,35
"Bryson City",2019-03-06,26,43
"Castle Hayne",2019-03-06,16,40
"Clemmons Middle",2019-03-06,22,40
"Durham Armory",2019-03-06,37,40
"Frying Pan Mountain",2019-03-06,NA,46
"Garinger High School",2019-03-06,23,42
"Hattie Avenue",2019-03-06,20,41
"Leggett",2019-03-06,NA,39
"Linville Falls",2019-03-06,NA,43
"Mendenhall School",2019-03-06,15,42
"Millbrook School",2019-03-06,35.5,40
"Pitt Agri. Center",2019-03-06,20,40
"West Johnston Co.",2019-03-06,24,40
"Bryson City",2019-03-07,32,44
"Castle Hayne",2019-03-07,27,48
"Clemmons Middle",2019-03-07,41,40
"Durham Armory",2019-03-07,41,40
"Frying Pan Mountain",2019-03-07,NA,47
"Garinger High School",2019-03-07,29,40
"Hattie Avenue",2019-03-07,32,40
"Leggett",2019-03-07,NA,42
"Linville Falls",2019-03-07,NA,44
"Mendenhall School",2019-03-07,NA,42
"Millbrook School",2019-03-07,41.3333333333333,40
"Pitt Agri. Center",2019-03-07,25.5,44
"West Johnston Co.",2019-03-07,20,43
"Bryson City",2019-03-08,44,31
"Castle Hayne",2019-03-08,26,48
"Clemmons Middle",2019-03-08,62,28
"Durham Armory",2019-03-08,54,34
"Frying Pan Mountain",2019-03-08,NA,44
"Garinger High School",2019-03-08,52,27
"Hattie Avenue",2019-03-08,53,27
"Leggett",2019-03-08,NA,35
"Linville Falls",2019-03-08,NA,39
"Mendenhall School",2019-03-08,NA,31
"Millbrook School",2019-03-08,50,35
"Pitt Agri. Center",2019-03-08,22,38
"West Johnston Co.",2019-03-08,33,37
"Bryson City",2019-03-09,38,33
"Castle Hayne",2019-03-09,26,44
"Clemmons Middle",2019-03-09,63,20
"Durham Armory",2019-03-09,57,27
"Frying Pan Mountain",2019-03-09,NA,34
"Garinger High School",2019-03-09,54,24
"Hattie Avenue",2019-03-09,53,22
"Leggett",2019-03-09,NA,39
"Linville Falls",2019-03-09,NA,34
"Mendenhall School",2019-03-09,44,22
"Millbrook School",2019-03-09,53,36
"Pitt Agri. Center",2019-03-09,28,41
"West Johnston Co.",2019-03-09,33,34
"Bryson City",2019-03-10,28,44
"Castle Hayne",2019-03-10,19,37
"Clemmons Middle",2019-03-10,26,29
"Durham Armory",2019-03-10,46.5,32
"Frying Pan Mountain",2019-03-10,NA,48
"Garinger High School",2019-03-10,37.3333333333333,20
"Hattie Avenue",2019-03-10,26,25
"Leggett",2019-03-10,NA,32
"Linville Falls",2019-03-10,NA,45
"Mendenhall School",2019-03-10,28,26
"Millbrook School",2019-03-10,44.6666666666667,30
"Pitt Agri. Center",2019-03-10,31.5,32
"West Johnston Co.",2019-03-10,36,29
"Bryson City",2019-03-11,23,27
"Castle Hayne",2019-03-11,21,41
"Clemmons Middle",2019-03-11,25,39
"Durham Armory",2019-03-11,28,42
"Frying Pan Mountain",2019-03-11,NA,45
"Garinger High School",2019-03-11,25,38
"Hattie Avenue",2019-03-11,16,40
"Leggett",2019-03-11,NA,42
"Linville Falls",2019-03-11,NA,43
"Mendenhall School",2019-03-11,12,42
"Millbrook School",2019-03-11,26.5,43
"Pitt Agri. Center",2019-03-11,13,41
"West Johnston Co.",2019-03-11,17,44
"Bryson City",2019-03-12,31,42
"Castle Hayne",2019-03-12,31,47
"Clemmons Middle",2019-03-12,19,46
"Durham Armory",2019-03-12,26,45
"Frying Pan Mountain",2019-03-12,NA,48
"Garinger High School",2019-03-12,18,44
"Hattie Avenue",2019-03-12,16,47
"Leggett",2019-03-12,12,44
"Linville Falls",2019-03-12,NA,48
"Mendenhall School",2019-03-12,15,47
"Millbrook School",2019-03-12,25.5,45
"Pitt Agri. Center",2019-03-12,14,44
"West Johnston Co.",2019-03-12,22,45
"Bryson City",2019-03-13,40,47
"Castle Hayne",2019-03-13,10,51
"Clemmons Middle",2019-03-13,33,48
"Durham Armory",2019-03-13,37,46
"Frying Pan Mountain",2019-03-13,NA,54
"Garinger High School",2019-03-13,35,49
"Hattie Avenue",2019-03-13,29,48
"Leggett",2019-03-13,21,48
"Linville Falls",2019-03-13,NA,51
"Mendenhall School",2019-03-13,38,51
"Millbrook School",2019-03-13,37.3333333333333,47
"Pitt Agri. Center",2019-03-13,20,50
"West Johnston Co.",2019-03-13,32,47
"Bryson City",2019-03-14,30,40
"Castle Hayne",2019-03-14,9,51
"Clemmons Middle",2019-03-14,38,47
"Durham Armory",2019-03-14,55,50
"Frying Pan Mountain",2019-03-14,NA,41
"Garinger High School",2019-03-14,33,47
"Hattie Avenue",2019-03-14,30,47
"Leggett",2019-03-14,27,51
"Linville Falls",2019-03-14,NA,42
"Mendenhall School",2019-03-14,31,49
"Millbrook School",2019-03-14,37,50
"Pitt Agri. Center",2019-03-14,21,50
"West Johnston Co.",2019-03-14,20,49
"Bryson City",2019-03-15,22,44
"Castle Hayne",2019-03-15,15,43
"Clemmons Middle",2019-03-15,39,37
"Durham Armory",2019-03-15,44,34
"Frying Pan Mountain",2019-03-15,NA,47
"Garinger High School",2019-03-15,27,31
"Hattie Avenue",2019-03-15,33,38
"Leggett",2019-03-15,28,40
"Linville Falls",2019-03-15,NA,42
"Mendenhall School",2019-03-15,25,38
"Millbrook School",2019-03-15,38,37
"Pitt Agri. Center",2019-03-15,26,42
"West Johnston Co.",2019-03-15,30,40
"Bryson City",2019-03-16,20,44
"Castle Hayne",2019-03-16,13,41
"Clemmons Middle",2019-03-16,15,42
"Durham Armory",2019-03-16,20,43
"Frying Pan Mountain",2019-03-16,NA,47
"Garinger High School",2019-03-16,21,44
"Hattie Avenue",2019-03-16,13.5,43
"Leggett",2019-03-16,11,42
"Linville Falls",2019-03-16,NA,44
"Mendenhall School",2019-03-16,13,44
"Millbrook School",2019-03-16,29.3333333333333,44
"Pitt Agri. Center",2019-03-16,16.5,42
"West Johnston Co.",2019-03-16,22,44
"Bryson City",2019-03-17,26,46
"Castle Hayne",2019-03-17,19,38
"Clemmons Middle",2019-03-17,24,44
"Durham Armory",2019-03-17,35,44
"Frying Pan Mountain",2019-03-17,NA,48
"Garinger High School",2019-03-17,20,46
"Hattie Avenue",2019-03-17,18,45
"Leggett",2019-03-17,20,44
"Linville Falls",2019-03-17,NA,46
"Mendenhall School",2019-03-17,17,46
"Millbrook School",2019-03-17,40.5,46
"Pitt Agri. Center",2019-03-17,20,44
"West Johnston Co.",2019-03-17,26,44
"Bryson City",2019-03-18,33,47
"Castle Hayne",2019-03-18,NA,48
"Clemmons Middle",2019-03-18,34,44
"Durham Armory",2019-03-18,44,45
"Frying Pan Mountain",2019-03-18,NA,48
"Garinger High School",2019-03-18,27,46
"Hattie Avenue",2019-03-18,23,45
"Leggett",2019-03-18,16,44
"Linville Falls",2019-03-18,NA,44
"Mendenhall School",2019-03-18,21,46
"Millbrook School",2019-03-18,50,46
"Pitt Agri. Center",2019-03-18,24,47
"West Johnston Co.",2019-03-18,NA,48
"Bryson City",2019-03-19,42,48
"Castle Hayne",2019-03-19,NA,45
"Clemmons Middle",2019-03-19,35,45
"Durham Armory",2019-03-19,34,46
"Frying Pan Mountain",2019-03-19,NA,51
"Garinger High School",2019-03-19,27,45
"Hattie Avenue",2019-03-19,22,48
"Leggett",2019-03-19,26,45
"Linville Falls",2019-03-19,NA,47
"Mendenhall School",2019-03-19,22,48
"Millbrook School",2019-03-19,40.3333333333333,46
"Pitt Agri. Center",2019-03-19,26,46
"West Johnston Co.",2019-03-19,NA,46
"Bryson City",2019-03-20,35,51
"Castle Hayne",2019-03-20,NA,39
"Clemmons Middle",2019-03-20,45,50
"Durham Armory",2019-03-20,46,44
"Frying Pan Mountain",2019-03-20,NA,71
"Garinger High School",2019-03-20,31,49
"Hattie Avenue",2019-03-20,35,61
"Leggett",2019-03-20,23,40
"Linville Falls",2019-03-20,NA,54
"Mendenhall School",2019-03-20,25,50
"Millbrook School",2019-03-20,44,42
"Pitt Agri. Center",2019-03-20,25,38
"West Johnston Co.",2019-03-20,0,42
"Bryson City",2019-03-21,51,47
"Castle Hayne",2019-03-21,NA,46
"Clemmons Middle",2019-03-21,41,NA
"Durham Armory",2019-03-21,37,44
"Frying Pan Mountain",2019-03-21,NA,74
"Garinger High School",2019-03-21,32,50
"Hattie Avenue",2019-03-21,32,50
"Leggett",2019-03-21,9,39
"Linville Falls",2019-03-21,NA,58
"Mendenhall School",2019-03-21,16,50
"Millbrook School",2019-03-21,29,45
"Pitt Agri. Center",2019-03-21,15,44
"West Johnston Co.",2019-03-21,0,46
"Bryson City",2019-03-22,NA,48
"Castle Hayne",2019-03-22,NA,44
"Clemmons Middle",2019-03-22,22,46
"Durham Armory",2019-03-22,17,44
"Frying Pan Mountain",2019-03-22,NA,49
"Garinger High School",2019-03-22,18,44
"Hattie Avenue",2019-03-22,20.5,46
"Leggett",2019-03-22,18,44
"Linville Falls",2019-03-22,NA,49
"Mendenhall School",2019-03-22,13,46
"Millbrook School",2019-03-22,27,44
"Pitt Agri. Center",2019-03-22,18.5,45
"West Johnston Co.",2019-03-22,3,45
"Bryson City",2019-03-23,NA,51
"Castle Hayne",2019-03-23,NA,47
"Clemmons Middle",2019-03-23,13,46
"Durham Armory",2019-03-23,NA,47
"Frying Pan Mountain",2019-03-23,NA,71
"Garinger High School",2019-03-23,23,50
"Hattie Avenue",2019-03-23,10,47
"Leggett",2019-03-23,10,45
"Linville Falls",2019-03-23,NA,54
"Mendenhall School",2019-03-23,20,48
"Millbrook School",2019-03-23,25.5,48
"Pitt Agri. Center",2019-03-23,13,46
"West Johnston Co.",2019-03-23,18,48
"Bryson City",2019-03-24,NA,80
"Castle Hayne",2019-03-24,NA,61
"Clemmons Middle",2019-03-24,57,67
"Durham Armory",2019-03-24,NA,61
"Frying Pan Mountain",2019-03-24,NA,87
"Garinger High School",2019-03-24,41,58
"Hattie Avenue",2019-03-24,50,67
"Leggett",2019-03-24,15,54
"Linville Falls",2019-03-24,NA,74
"Mendenhall School",2019-03-24,37,77
"Millbrook School",2019-03-24,48.5,64
"Pitt Agri. Center",2019-03-24,27,54
"West Johnston Co.",2019-03-24,54,58
"Bryson City",2019-03-25,NA,31
"Castle Hayne",2019-03-25,NA,54
"Clemmons Middle",2019-03-25,61,42
"Durham Armory",2019-03-25,42,44
"Frying Pan Mountain",2019-03-25,NA,50
"Garinger High School",2019-03-25,51,44
"Hattie Avenue",2019-03-25,54,39
"Leggett",2019-03-25,39,49
"Linville Falls",2019-03-25,NA,43
"Mendenhall School",2019-03-25,49,45
"Millbrook School",2019-03-25,47.6666666666667,48
"Pitt Agri. Center",2019-03-25,31.5,49
"West Johnston Co.",2019-03-25,36,46
"Bryson City",2019-03-26,NA,41
"Castle Hayne",2019-03-26,NA,44
"Clemmons Middle",2019-03-26,48,41
"Durham Armory",2019-03-26,NA,42
"Frying Pan Mountain",2019-03-26,NA,43
"Garinger High School",2019-03-26,40,43
"Hattie Avenue",2019-03-26,39,42
"Leggett",2019-03-26,18,44
"Linville Falls",2019-03-26,NA,32
"Mendenhall School",2019-03-26,24,44
"Millbrook School",2019-03-26,42.5,44
"Pitt Agri. Center",2019-03-26,19,44
"West Johnston Co.",2019-03-26,27,44
"Bryson City",2019-03-27,23,43
"Castle Hayne",2019-03-27,11,45
"Clemmons Middle",2019-03-27,25,46
"Durham Armory",2019-03-27,17,45
"Frying Pan Mountain",2019-03-27,NA,49
"Garinger High School",2019-03-27,21,47
"Hattie Avenue",2019-03-27,18,48
"Leggett",2019-03-27,19,45
"Linville Falls",2019-03-27,NA,46
"Mendenhall School",2019-03-27,13,47
"Millbrook School",2019-03-27,29,47
"Pitt Agri. Center",2019-03-27,18,46
"West Johnston Co.",2019-03-27,13,46
"Bryson City",2019-03-28,29,48
"Castle Hayne",2019-03-28,9,45
"Clemmons Middle",2019-03-28,53,61
"Durham Armory",2019-03-28,23.5,50
"Frying Pan Mountain",2019-03-28,NA,61
"Garinger High School",2019-03-28,34,58
"Hattie Avenue",2019-03-28,31.5,58
"Leggett",2019-03-28,16,48
"Linville Falls",2019-03-28,NA,58
"Mendenhall School",2019-03-28,22,58
"Millbrook School",2019-03-28,30,49
"Pitt Agri. Center",2019-03-28,15,NA
"West Johnston Co.",2019-03-28,15,49
"Bryson City",2019-03-29,43,51
"Castle Hayne",2019-03-29,11,49
"Clemmons Middle",2019-03-29,58,77
"Durham Armory",2019-03-29,51,61
"Frying Pan Mountain",2019-03-29,NA,64
"Garinger High School",2019-03-29,45,67
"Hattie Avenue",2019-03-29,43,80
"Leggett",2019-03-29,33,58
"Linville Falls",2019-03-29,NA,58
"Mendenhall School",2019-03-29,50,84
"Millbrook School",2019-03-29,54.5,64
"Pitt Agri. Center",2019-03-29,25,NA
"West Johnston Co.",2019-03-29,33,54
"Bryson City",2019-03-30,50,54
"Castle Hayne",2019-03-30,6,49
"Clemmons Middle",2019-03-30,75,50
"Durham Armory",2019-03-30,55,54
"Frying Pan Mountain",2019-03-30,NA,51
"Garinger High School",2019-03-30,55,51
"Hattie Avenue",2019-03-30,60,51
"Leggett",2019-03-30,33,48
"Linville Falls",2019-03-30,NA,51
"Mendenhall School",2019-03-30,55,67
"Millbrook School",2019-03-30,50,50
"Pitt Agri. Center",2019-03-30,33,50
"West Johnston Co.",2019-03-30,33,48
"Bryson City",2019-03-31,21,43
"Castle Hayne",2019-03-31,12,42
"Clemmons Middle",2019-03-31,34,42
"Durham Armory",2019-03-31,18,42
"Frying Pan Mountain",2019-03-31,NA,45
"Garinger High School",2019-03-31,21,42
"Hattie Avenue",2019-03-31,23,42
"Leggett",2019-03-31,13,41
"Linville Falls",2019-03-31,NA,41
"Mendenhall School",2019-03-31,19,42
"Millbrook School",2019-03-31,25.5,43
"Pitt Agri. Center",2019-03-31,14,40
"West Johnston Co.",2019-03-31,13,41
"Bryson City",2019-04-01,15,47
"Castle Hayne",2019-04-01,0,42
"Clemmons Middle",2019-04-01,28,44
"Durham Armory",2019-04-01,12,44
"Frying Pan Mountain",2019-04-01,NA,50
"Garinger High School",2019-04-01,19,44
"Hattie Avenue",2019-04-01,18,45
"Leggett",2019-04-01,17,44
"Linville Falls",2019-04-01,NA,44
"Mendenhall School",2019-04-01,8,45
"Millbrook School",2019-04-01,26.5,44
"Pitt Agri. Center",2019-04-01,17,44
"West Johnston Co.",2019-04-01,13,44
"Bryson City",2019-04-02,30,45
"Castle Hayne",2019-04-02,6,35
"Clemmons Middle",2019-04-02,42,40
"Durham Armory",2019-04-02,29,36
"Frying Pan Mountain",2019-04-02,NA,61
"Garinger High School",2019-04-02,27,40
"Hattie Avenue",2019-04-02,26,42
"Leggett",2019-04-02,18,34
"Linville Falls",2019-04-02,NA,48
"Mendenhall School",2019-04-02,24,43
"Millbrook School",2019-04-02,35,34
"Pitt Agri. Center",2019-04-02,22,34
"West Johnston Co.",2019-04-02,18,33
"Bryson City",2019-04-03,39,49
"Castle Hayne",2019-04-03,20,49
"Clemmons Middle",2019-04-03,57,54
"Durham Armory",2019-04-03,36,54
"Frying Pan Mountain",2019-04-03,NA,67
"Garinger High School",2019-04-03,32,58
"Hattie Avenue",2019-04-03,33.5,54
"Leggett",2019-04-03,30,51
"Linville Falls",2019-04-03,NA,50
"Mendenhall School",2019-04-03,30,61
"Millbrook School",2019-04-03,44,54
"Pitt Agri. Center",2019-04-03,27,51
"West Johnston Co.",2019-04-03,23,50
"Bryson City",2019-04-04,45,58
"Castle Hayne",2019-04-04,19,71
"Clemmons Middle",2019-04-04,58,71
"Durham Armory",2019-04-04,48,74
"Frying Pan Mountain",2019-04-04,NA,67
"Garinger High School",2019-04-04,35,64
"Hattie Avenue",2019-04-04,45,77
"Leggett",2019-04-04,52,61
"Linville Falls",2019-04-04,NA,74
"Mendenhall School",2019-04-04,32,77
"Millbrook School",2019-04-04,52.5,71
"Pitt Agri. Center",2019-04-04,37,67
"West Johnston Co.",2019-04-04,35,71
"Bryson City",2019-04-05,25,42
"Castle Hayne",2019-04-05,6,46
"Clemmons Middle",2019-04-05,40,37
"Durham Armory",2019-04-05,34,38
"Frying Pan Mountain",2019-04-05,NA,44
"Garinger High School",2019-04-05,21,38
"Hattie Avenue",2019-04-05,28,41
"Leggett",2019-04-05,36,38
"Linville Falls",2019-04-05,NA,44
"Mendenhall School",2019-04-05,20,38
"Millbrook School",2019-04-05,42,39
"Pitt Agri. Center",2019-04-05,31,45
"West Johnston Co.",2019-04-05,30,41
"Bryson City",2019-04-06,23,42
"Castle Hayne",2019-04-06,0,33
"Clemmons Middle",2019-04-06,34,44
"Durham Armory",2019-04-06,22,38
"Frying Pan Mountain",2019-04-06,NA,43
"Garinger High School",2019-04-06,27.3333333333333,47
"Hattie Avenue",2019-04-06,27,49
"Leggett",2019-04-06,20,32
"Linville Falls",2019-04-06,NA,43
"Mendenhall School",2019-04-06,14,46
"Millbrook School",2019-04-06,30.6666666666667,38
"Pitt Agri. Center",2019-04-06,22,34
"West Johnston Co.",2019-04-06,39,38
"Bryson City",2019-04-07,28,40
"Castle Hayne",2019-04-07,0,40
"Clemmons Middle",2019-04-07,57,33
"Durham Armory",2019-04-07,44,33
"Frying Pan Mountain",2019-04-07,NA,43
"Garinger High School",2019-04-07,48,31
"Hattie Avenue",2019-04-07,47,34
"Leggett",2019-04-07,15,38
"Linville Falls",2019-04-07,NA,37
"Mendenhall School",2019-04-07,35,37
"Millbrook School",2019-04-07,45.5,35
"Pitt Agri. Center",2019-04-07,16,41
"West Johnston Co.",2019-04-07,33,35
"Bryson City",2019-04-08,22,22
"Castle Hayne",2019-04-08,8,31
"Clemmons Middle",2019-04-08,50,31
"Durham Armory",2019-04-08,28,31
"Frying Pan Mountain",2019-04-08,NA,40
"Garinger High School",2019-04-08,32,31
"Hattie Avenue",2019-04-08,39,30
"Leggett",2019-04-08,27,37
"Linville Falls",2019-04-08,NA,30
"Mendenhall School",2019-04-08,30,36
"Millbrook School",2019-04-08,37,34
"Pitt Agri. Center",2019-04-08,28,36
"West Johnston Co.",2019-04-08,30,35
"Bryson City",2019-04-09,14,40
"Castle Hayne",2019-04-09,8,31
"Clemmons Middle",2019-04-09,16,40
"Durham Armory",2019-04-09,21,36
"Frying Pan Mountain",2019-04-09,NA,47
"Garinger High School",2019-04-09,28.6666666666667,22
"Hattie Avenue",2019-04-09,20,40
"Leggett",2019-04-09,22,31
"Linville Falls",2019-04-09,NA,50
"Mendenhall School",2019-04-09,17,42
"Millbrook School",2019-04-09,37,37
"Pitt Agri. Center",2019-04-09,25.5,31
"West Johnston Co.",2019-04-09,26,29
"Bryson City",2019-04-10,18,45
"Castle Hayne",2019-04-10,8,49
"Clemmons Middle",2019-04-10,26,58
"Durham Armory",2019-04-10,25,61
"Frying Pan Mountain",2019-04-10,NA,54
"Garinger High School",2019-04-10,24,71
"Hattie Avenue",2019-04-10,16,64
"Leggett",2019-04-10,20,50
"Linville Falls",2019-04-10,NA,50
"Mendenhall School",2019-04-10,13,71
"Millbrook School",2019-04-10,34,58
"Pitt Agri. Center",2019-04-10,19,50
"West Johnston Co.",2019-04-10,25,54
"Bryson City",2019-04-11,29,49
"Castle Hayne",2019-04-11,7,49
"Clemmons Middle",2019-04-11,40,49
"Durham Armory",2019-04-11,26,58
"Frying Pan Mountain",2019-04-11,NA,58
"Garinger High School",2019-04-11,31,48
"Hattie Avenue",2019-04-11,28,51
"Leggett",2019-04-11,22,48
"Linville Falls",2019-04-11,NA,54
"Mendenhall School",2019-04-11,31,54
"Millbrook School",2019-04-11,37,58
"Pitt Agri. Center",2019-04-11,20,51
"West Johnston Co.",2019-04-11,25,54
"Bryson City",2019-04-12,28,44
"Castle Hayne",2019-04-12,46,44
"Clemmons Middle",2019-04-12,38,28
"Durham Armory",2019-04-12,19,31
"Frying Pan Mountain",2019-04-12,NA,48
"Garinger High School",2019-04-12,25,29
"Hattie Avenue",2019-04-12,24,29
"Leggett",2019-04-12,25,44
"Linville Falls",2019-04-12,NA,39
"Mendenhall School",2019-04-12,23,29
"Millbrook School",2019-04-12,33,34
"Pitt Agri. Center",2019-04-12,29.5,45
"West Johnston Co.",2019-04-12,26,35
"Bryson City",2019-04-13,32,37
"Castle Hayne",2019-04-13,0,31
"Clemmons Middle",2019-04-13,38,35
"Durham Armory",2019-04-13,12,22
"Frying Pan Mountain",2019-04-13,NA,43
"Garinger High School",2019-04-13,23,32
"Hattie Avenue",2019-04-13,28,36
"Leggett",2019-04-13,14,27
"Mendenhall School",2019-04-13,20,30
"Millbrook School",2019-04-13,30,28
"Pitt Agri. Center",2019-04-13,16,30
"West Johnston Co.",2019-04-13,20,27
"Bryson City",2019-04-14,29,42
"Castle Hayne",2019-04-14,8,29
"Clemmons Middle",2019-04-14,45,35
"Durham Armory",2019-04-14,15,27
"Frying Pan Mountain",2019-04-14,NA,45
"Garinger High School",2019-04-14,25,33
"Hattie Avenue",2019-04-14,31,34
"Leggett",2019-04-14,25,30
"Linville Falls",2019-04-14,NA,43
"Mendenhall School",2019-04-14,24,34
"Millbrook School",2019-04-14,31,31
"Pitt Agri. Center",2019-04-14,17,31
"West Johnston Co.",2019-04-14,24,31
"Bryson City",2019-04-15,19,46
"Castle Hayne",2019-04-15,10,47
"Clemmons Middle",2019-04-15,11.5,46
"Durham Armory",2019-04-15,13.5,44
"Frying Pan Mountain",2019-04-15,NA,64
"Garinger High School",2019-04-15,12.3333333333333,47
"Hattie Avenue",2019-04-15,6,45
"Leggett",2019-04-15,10,47
"Linville Falls",2019-04-15,NA,47
"Mendenhall School",2019-04-15,8,47
"Millbrook School",2019-04-15,20.3333333333333,47
"Pitt Agri. Center",2019-04-15,15.5,47
"West Johnston Co.",2019-04-15,12,49
"Bryson City",2019-04-16,22,47
"Castle Hayne",2019-04-16,2,46
"Clemmons Middle",2019-04-16,19,54
"Durham Armory",2019-04-16,15,49
"Frying Pan Mountain",2019-04-16,NA,64
"Garinger High School",2019-04-16,19,61
"Hattie Avenue",2019-04-16,14,58
"Leggett",2019-04-16,15,49
"Linville Falls",2019-04-16,NA,54
"Mendenhall School",2019-04-16,8,61
"Millbrook School",2019-04-16,25.5,51
"Pitt Agri. Center",2019-04-16,12,50
"West Johnston Co.",2019-04-16,18,50
"Bryson City",2019-04-17,27,54
"Castle Hayne",2019-04-17,25,61
"Clemmons Middle",2019-04-17,47,64
"Durham Armory",2019-04-17,34,61
"Frying Pan Mountain",2019-04-17,NA,93
"Garinger High School",2019-04-17,41.5,64
"Hattie Avenue",2019-04-17,35,74
"Leggett",2019-04-17,30,58
"Linville Falls",2019-04-17,NA,64
"Mendenhall School",2019-04-17,36,80
"Millbrook School",2019-04-17,49,64
"Pitt Agri. Center",2019-04-17,34,71
"West Johnston Co.",2019-04-17,40,54
"Bryson City",2019-04-18,40,51
"Castle Hayne",2019-04-18,18,45
"Clemmons Middle",2019-04-18,48,48
"Durham Armory",2019-04-18,37.5,47
"Frying Pan Mountain",2019-04-18,NA,48
"Garinger High School",2019-04-18,33.3333333333333,45
"Hattie Avenue",2019-04-18,35,49
"Leggett",2019-04-18,28,48
"Linville Falls",2019-04-18,NA,50
"Mendenhall School",2019-04-18,42,50
"Millbrook School",2019-04-18,46.3333333333333,48
