"Site.Name","Date","PM2.5","Ozone"
"Frying Pan Mountain",2018-01-20,6,NA
"Garinger High School",2018-01-20,43,32
"Hattie Avenue",2018-01-20,36,NA
"Leggett",2018-01-20,28,NA
"Linville Falls",2018-01-20,8,NA
"Mendenhall School",2018-01-20,38,NA
"Millbrook School",2018-01-20,50,35
"Pitt Agri. Center",2018-01-20,41,NA
"West Johnston Co.",2018-01-20,40,NA
"Bryson City",2018-01-21,50,NA
"Clemmons Middle",2018-01-21,48,NA
"Durham Armory",2018-01-21,44,NA
"Garinger High School",2018-01-21,53,36
"Hattie Avenue",2018-01-21,49,NA
"Leggett",2018-01-21,22,NA
"Mendenhall School",2018-01-21,34,NA
"Millbrook School",2018-01-21,51,34
"Pitt Agri. Center",2018-01-21,35,NA
"West Johnston Co.",2018-01-21,43,NA
"Bryson City",2018-01-22,48,NA
"Castle Hayne",2018-01-22,25,NA
"Clemmons Middle",2018-01-22,58,NA
"Durham Armory",2018-01-22,59,NA
"Garinger High School",2018-01-22,57,37
"Hattie Avenue",2018-01-22,52,NA
"Leggett",2018-01-22,40,NA
"Mendenhall School",2018-01-22,51,NA
"Millbrook School",2018-01-22,59,32
"Pitt Agri. Center",2018-01-22,39,NA
"West Johnston Co.",2018-01-22,57,NA
"Bryson City",2018-01-23,17,NA
"Castle Hayne",2018-01-23,8,NA
"Clemmons Middle",2018-01-23,25,NA
"Durham Armory",2018-01-23,18.5,NA
"Frying Pan Mountain",2018-01-23,11,NA
"Garinger High School",2018-01-23,15.5,36
"Hattie Avenue",2018-01-23,20,NA
"Leggett",2018-01-23,13,NA
"Linville Falls",2018-01-23,10,NA
"Mendenhall School",2018-01-23,19,NA
"Millbrook School",2018-01-23,20.5,37
"Pitt Agri. Center",2018-01-23,16,NA
"West Johnston Co.",2018-01-23,15,NA
"Bryson City",2018-01-24,18,NA
"Castle Hayne",2018-01-24,7,NA
"Clemmons Middle",2018-01-24,16,NA
"Durham Armory",2018-01-24,26,NA
"Garinger High School",2018-01-24,22,28
"Hattie Avenue",2018-01-24,15,NA
"Leggett",2018-01-24,3,NA
"Mendenhall School",2018-01-24,13,NA
"Millbrook School",2018-01-24,20,31
"Pitt Agri. Center",2018-01-24,9,NA
"West Johnston Co.",2018-01-24,15,NA
"Bryson City",2018-01-25,26,NA
"Castle Hayne",2018-01-25,13,NA
"Clemmons Middle",2018-01-25,34,NA
"Durham Armory",2018-01-25,43,NA
"Garinger High School",2018-01-25,30,31
"Hattie Avenue",2018-01-25,34,NA
"Leggett",2018-01-25,8,NA
"Mendenhall School",2018-01-25,27,NA
"Millbrook School",2018-01-25,35,31
"Pitt Agri. Center",2018-01-25,13,NA
"West Johnston Co.",2018-01-25,25,NA
"Bryson City",2018-01-26,52,NA
"Castle Hayne",2018-01-26,6,NA
"Clemmons Middle",2018-01-26,58,NA
"Durham Armory",2018-01-26,46,NA
"Frying Pan Mountain",2018-01-26,8,NA
"Garinger High School",2018-01-26,46,34
"Hattie Avenue",2018-01-26,57.6666666666667,NA
"Leggett",2018-01-26,16,NA
"Linville Falls",2018-01-26,18,NA
"Mendenhall School",2018-01-26,56,NA
"Millbrook School",2018-01-26,47.5,28
"Pitt Agri. Center",2018-01-26,21,NA
"West Johnston Co.",2018-01-26,35,NA
"Bryson City",2018-01-27,58,NA
"Castle Hayne",2018-01-27,3,NA
"Clemmons Middle",2018-01-27,61,NA
"Durham Armory",2018-01-27,42,NA
"Garinger High School",2018-01-27,49,31
"Hattie Avenue",2018-01-27,76,NA
"Leggett",2018-01-27,18,NA
"Mendenhall School",2018-01-27,55,NA
"Millbrook School",2018-01-27,37,37
"Pitt Agri. Center",2018-01-27,26,NA
"West Johnston Co.",2018-01-27,27,NA
"Bryson City",2018-01-28,28,NA
"Castle Hayne",2018-01-28,0,NA
"Clemmons Middle",2018-01-28,56,NA
"Durham Armory",2018-01-28,25,NA
"Garinger High School",2018-01-28,43,29
"Hattie Avenue",2018-01-28,46,NA
"Leggett",2018-01-28,10,NA
"Mendenhall School",2018-01-28,46,NA
"Millbrook School",2018-01-28,22,30
"Pitt Agri. Center",2018-01-28,11,NA
"West Johnston Co.",2018-01-28,18,NA
"Bryson City",2018-01-29,12,NA
"Castle Hayne",2018-01-29,0,NA
"Clemmons Middle",2018-01-29,18,NA
"Durham Armory",2018-01-29,12,NA
"Frying Pan Mountain",2018-01-29,4,NA
"Garinger High School",2018-01-29,13,23
"Hattie Avenue",2018-01-29,12.5,NA
"Leggett",2018-01-29,0,NA
"Linville Falls",2018-01-29,7,NA
"Mendenhall School",2018-01-29,15,NA
"Millbrook School",2018-01-29,10,25
"Pitt Agri. Center",2018-01-29,5,NA
"West Johnston Co.",2018-01-29,6,NA
"Bryson City",2018-01-30,19,NA
"Castle Hayne",2018-01-30,5,NA
"Clemmons Middle",2018-01-30,22,NA
"Durham Armory",2018-01-30,29,NA
"Garinger High School",2018-01-30,17,NA
"Hattie Avenue",2018-01-30,22,NA
"Leggett",2018-01-30,18,NA
"Mendenhall School",2018-01-30,20,NA
"Millbrook School",2018-01-30,26,34
"Pitt Agri. Center",2018-01-30,19,NA
"West Johnston Co.",2018-01-30,14,NA
"Bryson City",2018-01-31,40,NA
"Castle Hayne",2018-01-31,8,NA
"Clemmons Middle",2018-01-31,35,NA
"Durham Armory",2018-01-31,33,NA
"Garinger High School",2018-01-31,26,31
"Hattie Avenue",2018-01-31,31,NA
"Leggett",2018-01-31,15,NA
"Mendenhall School",2018-01-31,26,NA
"Millbrook School",2018-01-31,29,31
"Pitt Agri. Center",2018-01-31,20,NA
"West Johnston Co.",2018-01-31,22,NA
"Bryson City",2018-02-01,55,NA
"Castle Hayne",2018-02-01,15,NA
"Clemmons Middle",2018-02-01,51,NA
"Durham Armory",2018-02-01,33.5,NA
"Frying Pan Mountain",2018-02-01,12,NA
"Garinger High School",2018-02-01,41,33
"Hattie Avenue",2018-02-01,38.3333333333333,NA
"Leggett",2018-02-01,23,NA
"Linville Falls",2018-02-01,24,NA
"Mendenhall School",2018-02-01,41,NA
"Millbrook School",2018-02-01,28,38
"Pitt Agri. Center",2018-02-01,22.5,NA
"West Johnston Co.",2018-02-01,29,NA
"Bryson City",2018-02-02,15,NA
"Castle Hayne",2018-02-02,10,NA
"Clemmons Middle",2018-02-02,16,NA
"Durham Armory",2018-02-02,20,NA
"Garinger High School",2018-02-02,20,34
"Hattie Avenue",2018-02-02,16,NA
"Leggett",2018-02-02,10,NA
"Mendenhall School",2018-02-02,13,NA
"Millbrook School",2018-02-02,25,34
"West Johnston Co.",2018-02-02,16,NA
"Bryson City",2018-02-03,28,NA
"Castle Hayne",2018-02-03,8,NA
"Clemmons Middle",2018-02-03,40,NA
"Durham Armory",2018-02-03,28,NA
"Garinger High School",2018-02-03,24,34
"Hattie Avenue",2018-02-03,24,NA
"Leggett",2018-02-03,11,NA
"Mendenhall School",2018-02-03,25,NA
"Millbrook School",2018-02-03,32,31
"West Johnston Co.",2018-02-03,28,NA
"Bryson City",2018-02-04,38,NA
"Castle Hayne",2018-02-04,9,NA
"Clemmons Middle",2018-02-04,40,NA
"Durham Armory",2018-02-04,25.5,NA
"Frying Pan Mountain",2018-02-04,2,NA
"Garinger High School",2018-02-04,27.5,20
"Hattie Avenue",2018-02-04,36,NA
"Leggett",2018-02-04,13,NA
"Linville Falls",2018-02-04,5,NA
"Mendenhall School",2018-02-04,36,NA
"Millbrook School",2018-02-04,24,31
"Pitt Agri. Center",2018-02-04,12,NA
"West Johnston Co.",2018-02-04,20,NA
"Bryson City",2018-02-05,25,NA
"Castle Hayne",2018-02-05,20,NA
"Clemmons Middle",2018-02-05,26,NA
"Durham Armory",2018-02-05,35,NA
