"Date","Source","Site.ID","POC","Daily.Max.8.hour.Ozone.Concentration","UNITS","DAILY_AQI_VALUE","Site.Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
2018-04-15,"AQS",370030005,1,0.036,"ppm",33,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-04-16,"AQS",370030005,1,0.036,"ppm",33,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-04-17,"AQS",370030005,1,0.058,"ppm",61,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-04-18,"AQS",370030005,1,0.065,"ppm",84,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-04-19,"AQS",370030005,1,0.048,"ppm",44,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-04-20,"AQS",370030005,1,0.056,"ppm",54,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-04-21,"AQS",370030005,1,0.064,"ppm",80,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-04-22,"AQS",370030005,1,0.054,"ppm",50,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-04-23,"AQS",370030005,1,0.046,"ppm",43,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-04-24,"AQS",370030005,1,0.038,"ppm",35,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-04-25,"AQS",370030005,1,0.042,"ppm",39,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-04-26,"AQS",370030005,1,0.046,"ppm",43,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-04-27,"AQS",370030005,1,0.05,"ppm",46,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-04-28,"AQS",370030005,1,0.058,"ppm",61,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-04-29,"AQS",370030005,1,0.047,"ppm",44,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-04-30,"AQS",370030005,1,0.055,"ppm",51,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-05-01,"AQS",370030005,1,0.062,"ppm",74,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-05-02,"AQS",370030005,1,0.066,"ppm",87,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-05-03,"AQS",370030005,1,0.062,"ppm",74,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-05-04,"AQS",370030005,1,0.062,"ppm",74,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-05-05,"AQS",370030005,1,0.046,"ppm",43,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-05-06,"AQS",370030005,1,0.05,"ppm",46,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-05-07,"AQS",370030005,1,0.056,"ppm",54,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-05-08,"AQS",370030005,1,0.058,"ppm",61,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-05-09,"AQS",370030005,1,0.06,"ppm",67,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-05-10,"AQS",370030005,1,0.054,"ppm",50,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-05-11,"AQS",370030005,1,0.056,"ppm",54,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-05-12,"AQS",370030005,1,0.058,"ppm",61,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-05-13,"AQS",370030005,1,0.055,"ppm",51,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-05-14,"AQS",370030005,1,0.059,"ppm",64,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-05-15,"AQS",370030005,1,0.033,"ppm",31,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-05-16,"AQS",370030005,1,0.027,"ppm",25,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-05-17,"AQS",370030005,1,0.039,"ppm",36,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-05-18,"AQS",370030005,1,0.03,"ppm",28,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-05-19,"AQS",370030005,1,0.037,"ppm",34,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-05-20,"AQS",370030005,1,0.039,"ppm",36,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
2018-05-21,"AQS",370030005,1,0.04,"ppm",37,"Taylorsville Liledoun",17,100,44201,"Ozone",25860,"Hickory-Lenoir-Morganton, NC",37,"North Carolina",3,"Alexander",35.9138000008966,-81.191
